CN,NN,Rate Constants
Cc2ccc(c1ccccc1F)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.248842984
Cc2ccc(c1ccc(F)c(C(F)(F)F)c1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.135446181
Cc2ccc(c1cccc(Cl)c1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.201891478
c2ccc(Cc1ccccn1)cc2,O=c2c(=O)c1cccnc1c3ncccc23,0.191075863
Cc2ccc(c1ccc(C#N)cc1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.14861456
CCc2ccc(c1ccccc1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.209808791
Cc2cnc(c1ccccc1)cc2c3ccccc3,O=c2c(=O)c1cccnc1c3ncccc23,0.267506208
Fc3ccc(c2cc(c1ccccc1)ccn2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.314713186
CCc2ccc(c1ccc(Cl)cc1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.205774006
Clc3ccc(c2cc(c1ccccc1)ccn2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.29722912
c4ccc(c3ccnc(c2ccc(N1CCCC1)cc2)c3)cc4,O=c2c(=O)c1cccnc1c3ncccc23,0.076430345
COc3ccc(c2cc(c1ccccc1)ccn2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.33438276
COc3ccc(c2cc(c1ccccc1)c(C)cn2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.260981666
CCc2ccc(c1cccc(OC)c1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,1.07E-05
COc3cccc(c2cc(c1ccccc1)ccn2)c3,O=c2c(=O)c1cccnc1c3ncccc23,1.07E-05
COc2ccc(c1ccc(C)cn1)cc2,O=c2c(=O)c1cccnc1c3ncccc23,0.324249949
COc3cccc(c2cc(c1ccccc1)c(C)cn2)c3,O=c2c(=O)c1cccnc1c3ncccc23,1.07E-05
c4ccc(c3ccnc(c2ccc1ccccc1c2)c3)cc4,O=c2c(=O)c1cccnc1c3ncccc23,0.16719138
FC(F)(F)Oc3ccc(c2nc1ccccc1s2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.289195901
c4ccc3cc(c2nc1ccccc1o2)ccc3c4,O=c2c(=O)c1cccnc1c3ncccc23,0.30572138
c2ccc(c1ccccn1)cc2,c1cnc3c(c1)ccc2cccnc23,0.33438276
