,method,0,1,2,3,4,5,6,7,8,9,10
4,MeanMax,90.6,96.05,96.05,96.05,96.05,97.83,97.83,97.83,97.83,97.83,97.83
5,MeanMax,93.79,95.34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,MeanMax,96.6,96.7,96.7,96.7,96.7,96.7,97.42,97.45,98.53,98.53,98.53
7,MeanMax,75.63,86.25,94.08,95.53,96.0,96.0,96.28,100.0,100.0,100.0,100.0
8,MeanMax,30.63,30.63,87.02,95.06,95.06,95.85,95.85,95.85,95.85,95.85,95.85
9,MeanMax,89.96,93.65,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69
10,MeanMax,92.3,92.3,94.03,94.41,99.15,100.0,100.0,100.0,100.0,100.0,100.0
11,MeanMax,95.37,96.3,97.83,97.83,97.83,97.83,97.83,97.83,97.83,98.69,98.69
12,MeanMax,93.44,94.26,94.26,94.26,94.33,94.33,94.33,94.33,94.64,95.65,95.65
13,MeanMax,89.93,93.95,93.95,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42
14,MeanMax,70.45,95.85,95.85,95.85,96.49,96.49,96.49,96.49,97.32,97.32,97.32
15,MeanMax,80.65,91.08,93.82,98.69,98.69,98.69,98.69,98.69,98.69,100.0,100.0
16,MeanMax,83.83,85.96,90.34,90.34,92.16,92.16,93.06,93.06,93.06,100.0,100.0
17,MeanMax,94.85,96.25,96.75,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83
18,MeanMax,94.13,94.13,94.13,94.7,98.2,98.2,98.2,98.2,98.2,98.2,98.69
19,MeanMax,97.45,97.45,97.45,97.45,97.45,97.45,97.45,98.2,98.69,98.69,98.69
20,MeanMax,77.29,88.99,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85
21,MeanMax,90.3,90.3,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83
22,MeanMax,82.07,93.3,95.88,95.88,95.88,95.88,98.42,98.42,98.42,98.42,98.42
23,MeanMax,92.83,93.67,93.67,93.67,93.67,93.67,93.67,93.67,93.67,93.67,93.67
24,MeanMax,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
