Electrophile,Nucleophile,Catalyst,Base,MISER Area Count
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,343
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,352
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,345
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,C2CCC1=NCCCN1CC2,338
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CN1CCCN2CCCN=C12,334
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CN(C)/C(=N\C(C)(C)C)N(C)C,334
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,336
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,336
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,334
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,1428
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c2cc(C(C)C)c(c1ccccc1P(C(C)(C)C)C(C)(C)C)c(C(C)C)c2,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,354
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,C2CCC1=NCCCN1CC2,347
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CN1CCCN2CCCN=C12,339
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CN(C)/C(=N\C(C)(C)C)N(C)C,340
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,345
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,354
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,336
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,698
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,335
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,C2CCC1=NCCCN1CC2,337
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CN1CCCN2CCCN=C12,346
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CN(C)/C(=N\C(C)(C)C)N(C)C,336
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,347
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,341
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,341
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,833
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,343
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,C2CCC1=NCCCN1CC2,334
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CN1CCCN2CCCN=C12,338
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CN(C)/C(=N\C(C)(C)C)N(C)C,348
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,335
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,349
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,339
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,798
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,349
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],C2CCC1=NCCCN1CC2,349
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CN1CCCN2CCCN=C12,340
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CN(C)/C(=N\C(C)(C)C)N(C)C,333
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CCN(CC)P1(=NC(C)(C)C)NCCCN1C,337
